probe,session_id,agent,model,seq,tool_use_id,tool_kind,file_path,ext,json_bytes,string_leaf_chars,json_overhead_bytes,json_overhead_share,content_chars,n_newlines,n_quotes,indent_chars,newline_share,quote_share,indent_share
write,00d89f9b-5405-4bcc-b524-e394dc84603e,claude_code,claude-opus-4-7,93,toolu_01KuhMyWketFZX7GUaXzBw8C,edit,/home/armel/Projects/OSS/bmad-module-skill-forge/docs/workflows.md,md,1592,1511,81,0.05087939698492462,858,6,0,0,0.006993006993006993,0.0,0.0
write,00e4a513-4666-4dd4-936b-a2e8b31b1e81,claude_code,claude-opus-4-8,353,toolu_01AmjKpRZy99NkhvWRZNx8sK,write,/Users/arijit/Coding/Python/DataQ/backend/tests/services/test_cron.py,py,3612,3199,413,0.11434108527131782,3130,84,70,164,0.0268370607028754,0.022364217252396165,0.0523961661341853
write,00e4a513-4666-4dd4-936b-a2e8b31b1e81,claude_code,claude-opus-4-8,534,toolu_01MistntqvTgb7bsZxJNJxC8,edit,/Users/arijit/Coding/Python/DataQ/backend/tests/api/test_schedules.py,py,901,805,96,0.10654827968923418,650,10,16,28,0.015384615384615385,0.024615384615384615,0.043076923076923075
write,00eccb43-7572-405a-8b69-6cc61f901c84,claude_code,claude-opus-4-6,243,toolu_01Kxh9XwYQkaF7tpWQs2FBSm,edit,/Users/alisha/.superset/worktrees/cli/agent-improvements/cmd/entire/cli/skilltui/picker.go,go,439,369,70,0.15945330296127563,177,1,0,1,0.005649717514124294,0.0,0.005649717514124294
write,019d29cb-beff-74c0-baf4-5d94d40633a6,codex,gpt-5.4,230,call_royOqNDkYYqol7Y56vglsnYI,edit,/Users/soph/Work/entire/devenv/cli/cmd/entire/cli/agent/codex/transcript.go,go,5248,4826,422,0.08041158536585366,4826,161,124,126,0.03336096145876502,0.0256941566514712,0.026108578532946538
write,019d4a75-32c0-7c01-8ff2-e73490bea568,codex,gpt-5.4,190,call_V5HCyRE6xFzxmcfRbcbGU4nC,edit,/Users/alisha/Projects/devenv/wt/cli_search/cmd/entire/cli/search/search_test.go,go,547,517,30,0.054844606946983544,517,13,8,10,0.025145067698259187,0.015473887814313346,0.019342359767891684
write,019d4afe-9faa-7481-9130-35ce1321bbc6,codex,gpt-5.4,1295,call_G2MsZNBU1YT7wvZIhNk4DrMd,edit,cmd/entire/cli/memoryloop/memoryloop_test.go,go,1160,1055,105,0.09051724137931035,1055,36,14,8,0.034123222748815164,0.013270142180094787,0.007582938388625593
write,019d4afe-9faa-7481-9130-35ce1321bbc6,codex,gpt-5.4,1332,call_MJ8J8MHh3OtKx2idEgyB7ukh,edit,cmd/entire/cli/memoryloop/file_targets.go,go,4484,4154,330,0.0735950044603033,4154,126,60,31,0.03033220991815118,0.014443909484833895,0.007462686567164179
write,019d4f1d-0e1e-7561-95a4-03df99f243b3,codex,gpt-5.4,430,call_yvGstMFTiwbFQ2JIA32QvuO3,edit,/Users/alisha/.superset/worktrees/cli/agent-improvements/cmd/entire/cli/summary_cmd.go,go,2222,2072,150,0.0675067506750675,2072,76,6,59,0.03667953667953668,0.0028957528957528956,0.028474903474903474
write,019d4f2c-d686-7be2-be93-3f7617272bb4,codex,gpt-5.4,813,call_aK879RzsnB4wIAyVsqIcZSab,edit,/Users/alisha/.superset/worktrees/cli/agent-improvements/cmd/entire/cli/summarytui/root.go,go,182,173,9,0.04945054945054945,173,7,0,3,0.04046242774566474,0.0,0.017341040462427744
write,019d4f69-ac7e-7771-bb55-e261213a2124,codex,gpt-5.4,700,call_2Pn85mTYh4Y91xp61y2f3FfS,edit,/Users/alisha/.superset/worktrees/cli/agent-improvements/cmd/entire/cli/summarize/claude.go,go,1801,1730,71,0.039422543031649084,1730,38,14,22,0.021965317919075144,0.008092485549132947,0.012716763005780347
write,019d5552-9f6b-7d43-9216-7a9c13d1c4f2,codex,gpt-5.4,1045,call_fx8a2yFKbfKxO7XPf8qgiLe2,edit,/Users/nickdejesus/Code/nimbus/packages/worker/test/lib/db.review.test.ts,ts,1462,1427,35,0.023939808481532147,1427,33,0,366,0.023125437981779958,0.0,0.2564821303433777
write,019d5552-9f6b-7d43-9216-7a9c13d1c4f2,codex,gpt-5.4,1949,call_zDwYl4hIYaiHl9kmPGQj7wlP,edit,/Users/nickdejesus/Code/nimbus/packages/report-ui/src/lib/review.ts,ts,2060,1989,71,0.03446601941747573,1989,69,0,46,0.03469079939668175,0.0,0.023127199597787834
write,019d5e2e-716f-7500-ba0c-709e29778e2b,codex,gpt-5.4,107,call_5bOUG7oYYmTZArFT7obhcbwY,edit,/Users/soph/Work/entire/devenv/cli_worktree1/cmd/entire/cli/lifecycle.go,go,3459,3253,206,0.059554784619832324,3253,77,42,19,0.023670458038733477,0.01291115893021826,0.005840762373193975
write,019d6306-cf06-7193-b86e-12f73f94af8b,codex,gpt-5.4,440,call_GdXibrstpSYkIP96KgJsxVz7,edit,/Users/savekirk/dev/ai/entire/session-bridge/src/test/components/activeSessionUi.test.ts,ts,1108,1035,73,0.06588447653429604,1035,24,10,36,0.02318840579710145,0.00966183574879227,0.034782608695652174
write,019d6380-37c5-7cb2-81d3-32d50df80731,codex,gpt-5.4,667,call_DpVLQHWTvGzK5SvG2f4l5Bjc,edit,/Users/zchee/src/github.com/zchee/zmux/README.md,md,916,900,16,0.017467248908296942,900,14,0,0,0.015555555555555555,0.0,0.0
write,019d63d5-4abe-7950-a778-33121d3ffdab,codex,gpt-5.4,317,call_uFQHjvUlRgGwm5fx9e27784g,edit,/Users/zchee/src/github.com/zchee/zmux/src/status/format.zig,other,3838,3671,167,0.043512245961438246,3671,115,50,226,0.03132661400163443,0.013620266957232362,0.06156360664669028
write,019d63d5-4abe-7950-a778-33121d3ffdab,codex,gpt-5.4,345,call_QIwMUkwnXku28Xr1zj0D1A6i,edit,/Users/zchee/src/github.com/zchee/zmux/src/server.zig,other,1774,1742,32,0.018038331454340473,1742,30,0,100,0.01722158438576349,0.0,0.0574052812858783
write,019d6489-8eac-7680-a27b-24106bb95a1f,codex,gpt-5.4,143,call_4C3QiMXN0SEOmzHAdFKymj1A,edit,/Users/zchee/src/github.com/zchee/zmux/.omx/team/implement-omx-plans-prd-status/worktrees/worker-4/src/server.zig,other,2621,2532,89,0.033956505150705835,2532,61,24,119,0.024091627172195894,0.009478672985781991,0.046998420221169034
write,019d64c5-2795-7463-8fff-73c754b04b4c,codex,gpt-5.4,1273,call_EIqNHHCwigkEXBIw7WDofW8d,edit,/Users/zchee/src/github.com/zchee/zmux/src/server.zig,other,610,592,18,0.029508196721311476,592,16,0,110,0.02702702702702703,0.0,0.1858108108108108
write,019d64c5-2795-7463-8fff-73c754b04b4c,codex,gpt-5.4,1374,call_QacaTZoawtkNapxL9aPDYWwH,edit,/Users/zchee/src/github.com/zchee/zmux/src/server.zig,other,1410,1376,34,0.024113475177304965,1376,32,0,333,0.023255813953488372,0.0,0.24200581395348839
write,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,1723,call_l8emJDIGpaG9ysS6hqAqKDMk,edit,/Users/zchee/src/github.com/zchee/zmux/src/server.zig,other,464,451,13,0.028017241379310345,451,11,0,11,0.024390243902439025,0.0,0.024390243902439025
write,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,2290,call_DWCcEAMjQnLM9xcXiFdKVXqk,edit,/Users/zchee/src/github.com/zchee/zmux/src/server.zig,other,2645,2563,82,0.03100189035916824,2563,58,14,66,0.02262973078423722,0.005462348809988295,0.02575107296137339
write,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,5232,call_IkbherC0Ef25JfFMhYTq95g5,edit,/Users/zchee/src/github.com/zchee/zmux/src/server.zig,other,754,734,20,0.026525198938992044,734,18,0,100,0.02452316076294278,0.0,0.1362397820163488
write,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,6253,call_aqE7CdRXcR427a5KSxEQ1XEP,edit,/Users/zchee/src/github.com/zchee/zmux/src/status/format.zig,other,6784,6586,198,0.02918632075471698,6586,178,18,25,0.02702702702702703,0.002733070148800486,0.003795930762222897
write,019d652e-bb47-7590-96f1-e572569920a8,codex,gpt-5.4,6319,call_1GcijLTMLv8bB158KJFwksmL,edit,/Users/zchee/src/github.com/zchee/zmux/src/status/format.zig,other,1876,1819,57,0.030383795309168442,1819,55,0,148,0.030236393622869707,0.0,0.08136338647608576
write,019d6625-1ed3-7192-860f-de3ae39494d9,codex,gpt-5.4,245,call_boptB7KYGVqBqtN1W8aL1ZrY,edit,/Users/zchee/src/github.com/zchee/zmux/.omx/team/task-1-fix-nonblocking-client/worktrees/worker-2/src/server.zig,other,1164,1126,38,0.03264604810996564,1126,34,2,37,0.03019538188277087,0.0017761989342806395,0.03285968028419183
write,019d6a9e-4fa4-7582-9a72-26758d7f2d42,codex,gpt-5.4,558,call_JJ8v7W8elsDXMUlkF9y8Fj70,edit,src/core/AGENTS.md,md,707,696,11,0.015558698727015558,696,9,0,1,0.01293103448275862,0.0,0.0014367816091954023
write,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,2985,call_Xnr02sPGp5yiwXCcmd8Kna6U,edit,/Users/soph/Work/entire/devenv/git-sync/internal/syncer/syncer.go,go,4206,3793,413,0.09819305753685212,3793,156,88,88,0.041128394410756657,0.023200632744529395,0.023200632744529395
write,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,3780,call_F8chmMzQSos6D7EYIqWdafvC,edit,/Users/soph/Work/entire/devenv/git-sync/internal/syncer/syncer.go,go,733,667,66,0.09004092769440655,667,21,16,37,0.031484257871064465,0.0239880059970015,0.05547226386806597
write,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,3799,call_ABdQvuU6wIPBjzC7a6ib6PWv,edit,/Users/soph/Work/entire/devenv/git-sync/cmd/git-sync/main.go,go,3971,3751,220,0.055401662049861494,3751,22,52,16,0.005865102639296188,0.01386296987470008,0.004265529192215409
write,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,4094,call_pKYIZ7qZw0yx3gYv2E5fvZi1,edit,/Users/soph/Work/entire/devenv/git-sync/internal/syncer/syncer.go,go,1319,1236,83,0.06292645943896892,1236,28,10,20,0.022653721682847898,0.008090614886731391,0.016181229773462782
write,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,4731,call_EdiNlrTFiMjR1GXAGphE510k,edit,/Users/soph/Work/entire/devenv/git-sync/internal/syncer/live_bootstrap_test.go,go,320,297,23,0.071875,297,10,0,11,0.03367003367003367,0.0,0.037037037037037035
write,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,5715,call_QvgLh3a5ZFSAzXb355WUTz2M,edit,/Users/soph/Work/entire/devenv/git-sync/internal/syncer/syncer_test.go,go,2025,1893,132,0.06518518518518518,1893,52,24,47,0.02746962493396725,0.012678288431061807,0.024828314844162706
write,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-ee45cfa4a942,codex,gpt-5.4,477,call_9UjUJ0c4dQLJitNfZpWqotVU,edit,/Users/soph/Work/entire/devenv/git-sync/internal/syncer/syncer.go,go,569,538,31,0.054481546572934976,538,14,4,12,0.026022304832713755,0.007434944237918215,0.022304832713754646
write,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-ee45cfa4a942,codex,gpt-5.4,1553,call_LXq7bRswXL18SQYNhVjQRsZB,edit,/Users/soph/Work/entire/devenv/git-sync/internal/syncer/integration_test.go,go,1737,1616,121,0.06966033390903857,1616,50,22,4,0.03094059405940594,0.013613861386138614,0.0024752475247524753
write,019d6e2e-e3ac-7961-b8b4-538e29a1ed3d,codex,gpt-5.4,1180,call_SW2ntuJnP4Jr9Z4WTA8vi2ST,edit,/Users/alisha/.superset/worktrees/cli/agent-improvements/docs/plans/2026-04-08-session-analysis-cross-product-design.md,md,8441,8241,200,0.023693875133278048,8241,142,0,25,0.017230918577842494,0.0,0.0030336124256764956
write,019d7050-c22a-7f33-96fa-ccb004f5a6aa,codex,gpt-5.4,1075,call_zPcXBxyzhdIwBQ3HHqSpP6OP,edit,/Users/peytonmontei/Documents/entire/devenv/entireio/entire.io/api/src/lib/webhook/processing.ts,ts,3011,2913,98,0.03254732646961143,2913,84,12,60,0.028836251287332648,0.004119464469618949,0.02059732234809475
write,019d71d5-2ff2-79d2-8b3b-1b284e39f2d8,codex,gpt-5.4,554,call_oxqnSxUFycKaAzVOus2p13aT,edit,/Users/nodo/work/entire/cli/cmd/entire/cli/setup_test.go,go,240,230,10,0.041666666666666664,230,6,0,0,0.02608695652173913,0.0,0.0
write,019d724a-df1e-7e20-b01c-6caf0bb02e7a,codex,gpt-5.4,2099,call_pR8fFpyCUopQ4Lfe2cngcASF,edit,/Users/nickdejesus/Code/nimbus/packages/worker/src/lib/review-runner/finalization.ts,ts,1212,1175,37,0.03052805280528053,1175,35,0,37,0.029787234042553193,0.0,0.03148936170212766
write,019d72a3-5004-77b0-ab1a-ab105e169e78,codex,gpt-5.4,291,call_o7cmFKDBBx7cq9aKK6NznsoK,edit,/home/coder/git/entireio/cli-rebase/cmd/entire/cli/checkpoint/parse_tree.go,go,871,787,84,0.09644087256027555,787,31,20,25,0.03939008894536213,0.025412960609911054,0.03176620076238882
write,019d7653-0973-7ae1-b1f5-d12c606d626b-66452bea7dec,codex,gpt-5.4,727,call_1WnmVynJnWZ75gPNothmDlnL,edit,/Users/soph/Work/entire/devenv/cli_worktree1/cmd/entire/cli/transcript_test.go,go,2412,2283,129,0.053482587064676616,2283,51,30,31,0.022339027595269383,0.013140604467805518,0.01357862461673237
write,019d7752-d972-73c2-bf43-8f96be22fea4,codex,gpt-5.4,111,call_unSNpjTz3GL4aKRmYtf3tgZI,edit,/Users/soph/Work/entire/devenv/cli_experiments_2/e2e/testutil/repo.go,go,3186,2900,286,0.08976773383553044,2900,102,88,73,0.03517241379310345,0.030344827586206897,0.02517241379310345
write,019d7752-d972-73c2-bf43-8f96be22fea4,codex,gpt-5.4,180,call_5NWg0zEsculnDF0pfZRduQDI,edit,/Users/soph/Work/entire/devenv/cli_experiments_2/e2e/testutil/repo.go,go,1080,998,82,0.07592592592592592,998,31,16,30,0.031062124248496994,0.01603206412825651,0.03006012024048096
write,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,1539,call_BVKTnpR2xdLCDl41S8IRgetV,edit,/Users/soph/Work/entire/devenv/git-sync/internal/strategy/bootstrap/bootstrap_test.go,go,368,356,12,0.03260869565217391,356,8,2,0,0.02247191011235955,0.0056179775280898875,0.0
write,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,2123,call_SEhGUQhjZwyLpmj6StBQnqul,edit,/Users/soph/Work/entire/devenv/git-sync/internal/gitproto/push.go,go,1943,1800,143,0.07359752959341224,1800,60,14,37,0.03333333333333333,0.0077777777777777776,0.020555555555555556
write,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,2692,call_ItCuSwOG0DD1K0pmT5Iq2ZPf,edit,/Users/soph/Work/entire/devenv/git-sync/internal/strategy/bootstrap/bootstrap_test.go,go,2709,2398,311,0.11480251015134736,2398,77,18,4,0.03211009174311927,0.007506255212677231,0.0016680567139282735
write,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,4731,call_m6khDOmuisEUa6t2p3xqzUB4,edit,internal/strategy/bootstrap/bootstrap.go,go,9422,8763,659,0.06994268732753131,8763,237,54,8,0.02704553235193427,0.0061622731941116055,0.0009129293620906082
write,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,5470,call_wIUZTEFYvVEOUiNAvfVKBOr2,edit,internal/syncer/syncer.go,go,1679,1576,103,0.06134603930911257,1576,46,2,49,0.02918781725888325,0.0012690355329949238,0.031091370558375634
write,019d7e8e-fef6-7481-9a1b-d8d36a852ac4,codex,gpt-5.4,553,call_jvkcgu7A8fuvjbpd7RwtdiPG,edit,/Users/savekirk/dev/ai/entire/session-bridge/src/components/checkpointTreeView.ts,ts,1428,1375,53,0.03711484593837535,1375,29,8,15,0.02109090909090909,0.005818181818181818,0.01090909090909091
write,019d7e8e-fef6-7481-9a1b-d8d36a852ac4,codex,gpt-5.4,745,call_ZgYpnQmcuo2OPiPTeGCheKn9,edit,/Users/savekirk/dev/ai/entire/session-bridge/src/test/components/sessionsUi.test.ts,ts,578,536,42,0.0726643598615917,536,16,2,10,0.029850746268656716,0.0037313432835820895,0.018656716417910446
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,3473,call_EZgbu7tciEmgsfkmX0oNC0mr,edit,/Users/nickdejesus/Code/nimbus/packages/worker/src/lib/review-analysis.ts,ts,2818,2748,70,0.0248403122782115,2748,68,0,94,0.024745269286754003,0.0,0.03420669577874818
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,10740,call_Rn17jh59d1MoN7BkxDXQaRpx,edit,/Users/nickdejesus/Code/nimbus/packages/worker/test/api/reviews.test.ts,ts,1182,1155,27,0.02284263959390863,1155,25,0,90,0.021645021645021644,0.0,0.07792207792207792
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,11690,call_Voph3Cv4sEiaITnnFJqoe7hs,edit,packages/cli/src/cli/help.ts,ts,1225,1198,27,0.022040816326530613,1198,25,0,123,0.020868113522537562,0.0,0.10267111853088481
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,12050,call_Xm1Nq2fNaIuZ60bPWGbtyvvc,edit,packages/cli/test/commands/review/review.test.ts,ts,792,772,20,0.025252525252525252,772,18,0,224,0.023316062176165803,0.0,0.29015544041450775
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,13119,call_ohvMvm7DjgVo1lnV1mkro9oW,edit,/Users/nickdejesus/Code/nimbus/packages/worker/test/api/reviews.test.ts,ts,366,353,13,0.03551912568306011,353,6,0,0,0.0169971671388102,0.0,0.0
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,13255,call_K2O29p21Z2ulNrZ9jkttmTQ4,edit,/Users/nickdejesus/Code/nimbus/packages/cli/src/commands/review/show.ts,ts,666,649,17,0.025525525525525526,649,15,0,24,0.023112480739599383,0.0,0.03697996918335902
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,14935,call_JR3UPjWnLegIqJIpyzRmYH2H,edit,packages/worker/test/lib/review-session-remediation.test.ts,ts,591,511,80,0.1353637901861252,0,0,0,0,0.0,0.0,0.0
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,15583,call_HDcWmI8ecaAUR6wSpqyHR1LR,edit,/Users/nickdejesus/Code/nimbus/packages/cli/src/app/reviews/materialize.ts,ts,6014,5855,159,0.02643831060857998,5855,157,0,380,0.02681468830059778,0.0,0.06490179333902647
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,15588,call_fY0uEh4OR4TkmoVHjUr2G7Qh,edit,/Users/nickdejesus/Code/nimbus/packages/cli/src/app/reviews/create-shared.ts,ts,4018,3910,108,0.02687904430064709,3910,106,0,417,0.02710997442455243,0.0,0.10664961636828645
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,15606,call_O4hMQhT5d5i4HOU2CkRyNkhJ,edit,/Users/nickdejesus/Code/nimbus/packages/cli/src/app/reviews/create-from-session.ts,ts,1705,1667,38,0.022287390029325515,1667,34,0,20,0.020395920815836834,0.0,0.01199760047990402
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,15630,call_cPRzMnaJjWm6yP3Md8Ik3kLA,edit,/Users/nickdejesus/Code/nimbus/packages/cli/test/commands/review/review.test.ts,ts,424,415,9,0.02122641509433962,415,7,0,2,0.016867469879518072,0.0,0.004819277108433735
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,17615,call_VPtMzM06g79aGeLVzZ2klKmS,write,/Users/nickdejesus/Code/nimbus/packages/cli/src/app/reviews/local-environments.ts,ts,11922,11592,330,0.027679919476597887,11592,323,0,0,0.027864044168391996,0.0,0.0
write,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,18238,call_BFQ7BY2Zc7Aboo2Rb7N0NOVn,edit,/Users/nickdejesus/Code/nimbus/packages/cli/src/lib/types.ts,ts,296,283,13,0.04391891891891892,283,11,0,5,0.038869257950530034,0.0,0.0176678445229682
write,019d7ecc-68b7-7783-b52d-6bb5efe46f26,codex,gpt-5.4,525,call_1nXF6Xh5MBBedSbN17yTEAoS,edit,/Users/savekirk/dev/ai/entire/session-bridge/src/components/sessionDetailsPanel.ts,ts,500,478,22,0.044,478,10,4,2,0.02092050209205021,0.008368200836820083,0.0041841004184100415
write,019d80d3-9312-7982-ad8d-ddf3028c020e,codex,gpt-5.4,1283,call_TYgCVeqd0uDlMDJNNUV4zlQA,edit,plumbing/compat/mapping_file.go,go,1227,1176,51,0.04156479217603912,1176,34,2,15,0.02891156462585034,0.0017006802721088435,0.012755102040816327
write,019d80d3-9312-7982-ad8d-ddf3028c020e,codex,gpt-5.4,3555,call_srMWe5mMru2EALeqT5nqiRDA,edit,remote.go,go,1484,1373,111,0.0747978436657682,1373,57,2,59,0.041514930808448654,0.0014566642388929353,0.04297159504734159
write,019d80d3-9312-7982-ad8d-ddf3028c020e,codex,gpt-5.4,5520,call_d11JDhKzeve5QNLw8CXJOu1Q,edit,plumbing/format/packfile/scanner.go,go,1429,1251,178,0.1245626312106368,1251,64,0,88,0.051159072741806554,0.0,0.07034372501998401
write,019d8359-1b1f-72a0-b211-1f298f0084c9,codex,gpt-5.4,243,call_ZKwnwvyjXRRTXBZoJXz09iNv,edit,/Users/thomi/Projects/entire-cli/cmd/entire/cli/setup_test.go,go,2696,2485,211,0.07826409495548961,2485,79,54,22,0.0317907444668008,0.021730382293762576,0.008853118712273641
write,019d8359-1b1f-72a0-b211-1f298f0084c9,codex,gpt-5.4,522,call_DBfw9oJzmqTc9Stp1fWBcmYs,edit,/Users/thomi/Projects/entire-cli/cmd/entire/cli/setup.go,go,5467,5066,401,0.07334918602524236,5066,152,42,165,0.030003947887879984,0.008290564547966837,0.03257007500986972
write,019d8606-ed6a-75d0-a76c-2ef8b805600c-d49199a9f9a1,codex,gpt-5.4,378,call_SIDGI6p0TAxto6pH8qW4nF0w,edit,/Users/soph/Work/entire/devenv/cli_experiments/cmd/entire/cli/strategy/checkpoint_token.go,go,2718,2516,202,0.07431935246504782,2516,91,36,23,0.03616852146263911,0.014308426073131956,0.009141494435612083
write,019d8606-ed6a-75d0-a76c-2ef8b805600c-d49199a9f9a1,codex,gpt-5.4,402,call_0JwHsi0uFs2xgvf1n5jhisKW,edit,/Users/soph/Work/entire/devenv/cli_experiments/cmd/entire/cli/integration_test/testenv.go,go,629,587,42,0.06677265500794913,587,16,12,13,0.027257240204429302,0.020442930153321975,0.022146507666098807
